City_ID,City,Country,Date,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Huambo,AO,2022-07-19- 23:04;28,-12.7761,15.7392,55.33,43,3,1.32
119,La Ronge,CA,2022-07-19- 23:04;28,55.1001,-105.2842,79.34,37,63,12.26
120,Adrar,MR,2022-07-19- 23:02;25,20.5022,-10.0711,94.96,7,0,11.39
121,Georgetown,MY,2022-07-19- 23:04;26,5.4112,100.3354,77.9,91,20,0.0
122,Dauriya,RU,2022-07-19- 23:04;29,49.9333,116.8667,71.17,44,24,4.32
123,Storozhevaya,RU,2022-07-19- 23:04;29,43.8789,41.4514,58.14,96,77,2.19
124,Mosetse,BW,2022-07-19- 23:04;29,-20.75,26.65,55.58,72,53,9.08
125,Saldanha,ZA,2022-07-19- 23:04;30,-33.0117,17.9442,55.13,69,0,14.65
126,Okhotsk,RU,2022-07-19- 23:04;30,59.3833,143.3,60.3,82,99,5.59
127,Chancay,PE,2022-07-19- 23:04;30,-11.5714,-77.2672,61.9,84,80,7.47
128,My Tho,VN,2022-07-19- 22:59;41,10.35,106.35,76.28,95,100,3.91
129,Leshukonskoye,RU,2022-07-19- 23:04;31,64.8989,45.7622,68.58,57,95,11.1
130,Tommot,RU,2022-07-19- 23:04;31,58.9564,126.2925,62.56,90,100,1.95
131,Pacific Grove,US,2022-07-19- 23:04;32,36.6177,-121.9166,84.24,80,0,11.5
132,Padang,ID,2022-07-19- 23:04;32,-0.9492,100.3543,76.69,89,83,2.17
133,Wanning,CN,2022-07-19- 23:05;32,18.8003,110.3967,80.55,89,95,4.5
134,Kralendijk,BQ,2022-07-19- 23:01;12,12.15,-68.2667,80.56,83,5,20.62
135,Iqaluit,CA,2022-07-19- 23:05;33,63.7506,-68.5145,40.69,100,100,1.99
136,Loandjili,CG,2022-07-19- 23:05;33,-4.7561,11.8578,69.8,87,35,5.28
137,Tuktoyaktuk,CA,2022-07-19- 22:59;54,69.4541,-133.0374,51.8,93,100,10.36
138,Kitimat,CA,2022-07-19- 23:05;33,54.0524,-128.6534,69.91,58,74,1.01
139,Phayao,TH,2022-07-19- 23:01;09,19.25,100.25,73.33,98,100,1.83
140,Asfi,MA,2022-07-19- 23:02;46,32.2994,-9.2372,71.08,80,6,17.36
141,Yaring,TH,2022-07-19- 23:05;34,6.8662,101.3689,77.61,86,100,9.31
142,Sabang,ID,2022-07-19- 23:05;34,5.8933,95.3214,82.49,75,100,22.41
143,Avarua,CK,2022-07-19- 23:05;35,-21.2078,-159.775,77.05,61,40,8.05
144,Narsaq,GL,2022-07-19- 23:05;35,60.9167,-46.05,48.76,90,100,3.02
145,Stephenville,US,2022-07-19- 23:02;45,32.2207,-98.2023,107.24,20,0,10.36
146,Ostersund,SE,2022-07-19- 23:05;35,63.1792,14.6357,55.62,82,100,8.05
147,Tingi,TZ,2022-07-19- 23:05;36,-11.3,35.0333,56.71,68,6,4.52
148,Tambura,SS,2022-07-19- 22:59;48,5.6,27.4667,67.98,92,100,2.95
149,Necochea,AR,2022-07-19- 23:05;36,-38.5473,-58.7368,47.32,50,3,12.68
150,Castro,BR,2022-07-19- 23:00;55,-24.7911,-50.0119,60.84,86,8,0.89
151,Mount Isa,AU,2022-07-19- 23:05;37,-20.7333,139.5,62.42,40,0,12.8
