City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Ilhabela,BR,75.06,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
320,Mecca,SA,91.71,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
322,Torbat-E Jam,IR,88.21,clear sky,35.244,60.6225,White building
324,Boke,GN,76.68,moderate rain,10.9409,-14.2967,Hôtel Rio Nunez - Boké
325,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
326,Kutum,SD,86.16,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
327,Governador Valadares,BR,85.44,clear sky,-18.8511,-41.9494,Hotel Panorama
328,Banda Aceh,ID,78.62,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
333,Samandag,TR,82.92,clear sky,36.0842,35.9771,Anadolu Palace Hotel
334,Suchiapa,MX,82.72,broken clouds,16.6167,-93.0833,Taller de moto
335,Durusu,TR,80.78,clear sky,41.3053,28.6767,Durusu Talebe Yurdu
338,Shimoda,JP,77.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
339,Jalu,LY,88.72,clear sky,29.0331,21.5482,صاحبة الفخامة
341,Bubaque,GW,76.8,heavy intensity rain,11.2833,-15.8333,"Casa Dora, Bubaque"
342,Sinnamary,GF,82.8,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
344,Broome,US,89.46,few clouds,42.2506,-75.833,Chenango Valley State Park
345,Calamar,CO,87.93,overcast clouds,10.2511,-74.9146,Hostal Katyalex
347,Vilhena,BR,91.22,clear sky,-12.7406,-60.1458,Hotel Mirage
348,Agnibilekrou,CI,76.82,overcast clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
352,Kieta,PG,76.82,clear sky,-6.2167,155.6333,Uruna Bay Retreat
354,Honiara,SB,76.21,scattered clouds,-9.4333,159.95,Heritage Park Hotel
355,Champerico,GT,84.09,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
356,San Buenaventura,MX,91.47,clear sky,27.0833,-101.5333,Hotel Gran Plaza
357,Nara,JP,76.5,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
360,Tateyama,JP,79.11,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
368,Cagliari,IT,92.95,clear sky,39.245,9.0912,Holiday Inn Cagliari
370,Huejucar,MX,78.39,overcast clouds,22.35,-103.2167,Hotel Villarreal
371,Kloulklubed,PW,77.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
374,Cartagena,CO,82.85,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
375,Nueva Loja,EC,80.82,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
378,Frontera,MX,90.32,clear sky,26.9333,-101.45,Fiesta Inn Monclova
380,Samana,DO,84.42,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
381,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
384,Kilindoni,TZ,75.31,clear sky,-7.9139,39.6668,Bustani B&B
389,Bozdar,PK,91.36,overcast clouds,27.1828,68.636,Hadi Hassan Shah Stop
391,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
393,Padang,ID,78.15,overcast clouds,-0.9492,100.3543,Mercure Padang
397,Canto Do Buriti,BR,93.52,overcast clouds,-8.11,-42.9444,Novo Hotel
399,Eyl,SO,78.26,overcast clouds,7.9803,49.8164,Amiin Hotel
406,Lasa,IT,75.61,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
409,Arrecife,ES,82.38,few clouds,28.963,-13.5477,Hotel Lancelot
416,Grimma,DE,80.91,scattered clouds,51.2333,12.7167,Hotel Kloster Nimbschen
417,Wajir,KE,83.05,broken clouds,1.7471,40.0573,Mahatallah Hotel
418,Hall,US,90.73,overcast clouds,34.3168,-83.7832,Holiday Inn Gainesville-Lanier Centre
419,Abu Kamal,SY,93.63,clear sky,34.4506,40.9171,البوكمال
421,Lumby,CA,83.05,scattered clouds,50.2498,-118.969,Twin Creeks Motel
422,Vanimo,PG,76.8,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
423,Caraquet,CA,77.34,overcast clouds,47.7941,-64.9386,Gite Le Poirier
426,Agadir,MA,90.05,few clouds,30.4202,-9.5982,Iberostar Founty Beach
428,Acapulco,MX,87.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
432,Ise,JP,76.32,clear sky,34.4833,136.7,Ise Fresh
433,Buala,SB,79.12,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
435,Tatawin,TN,86.58,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
437,Murbad,IN,77.47,overcast clouds,19.25,73.4,Hotel Sarika
438,Ukiah,US,93.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
439,Horta,PT,76.64,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
444,Novo Aripuana,BR,92.26,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
446,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
448,Pilot Butte,CA,76.62,scattered clouds,50.4668,-104.4178,Sleep Inn Regina East
451,Keta,GH,76.77,broken clouds,5.9179,0.9879,A&Y Wild Camp Ghana
458,Champaign,US,89.71,clear sky,40.1334,-88.2001,"Comfort Suites Urbana Champaign, University Area"
460,Hirara,JP,85.01,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
462,San Policarpo,PH,80.73,overcast clouds,12.1791,125.5072,Agapita M. Nicart
464,Talwara,IN,81.59,overcast clouds,31.9486,75.8667,BBMB Rest House
466,Palu,ID,75.83,broken clouds,-0.8917,119.8707,Hotel Santika Palu
469,Peshkopi,AL,76.17,clear sky,41.685,20.4289,Hotel Piazza
470,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
