City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Mecca,SA,21.4267,39.8261,91.71,47,5,6.44,clear sky
321,Rawson,AR,-43.3002,-65.1023,43.54,35,97,10.13,overcast clouds
322,Torbat-E Jam,IR,35.244,60.6225,88.21,15,0,13.94,clear sky
323,Pacific Grove,US,36.6177,-121.9166,74.21,88,20,15.99,few clouds
324,Boke,GN,10.9409,-14.2967,76.68,93,99,7.18,moderate rain
325,Praia,CV,14.9215,-23.5087,79.34,73,75,9.22,broken clouds
326,Kutum,SD,14.2,24.6667,86.16,30,16,7.9,few clouds
327,Governador Valadares,BR,-18.8511,-41.9494,85.44,34,9,5.55,clear sky
328,Banda Aceh,ID,5.5577,95.3222,78.62,83,99,2.77,light rain
329,Cidreira,BR,-30.1811,-50.2056,67.98,83,79,3.98,broken clouds
330,Lensk,RU,60.7253,114.9278,61.9,92,96,4.03,overcast clouds
331,Fengrun,CN,39.8333,118.1167,72.05,84,100,4.81,light rain
332,Shinjo,JP,38.7586,140.3008,69.57,97,23,0.72,few clouds
333,Samandag,TR,36.0842,35.9771,82.92,73,0,4.7,clear sky
334,Suchiapa,MX,16.6167,-93.0833,82.72,61,75,3.44,broken clouds
335,Durusu,TR,41.3053,28.6767,80.78,73,0,1.99,clear sky
336,Barkly West,ZA,-28.5354,24.5215,65.16,36,44,9.44,scattered clouds
337,Chifeng,CN,42.2683,118.9636,66.96,85,100,4.54,overcast clouds
338,Shimoda,JP,34.6667,138.95,77.11,87,0,14.38,clear sky
339,Jalu,LY,29.0331,21.5482,88.72,19,0,8.41,clear sky
340,Sidney,AU,-33.8679,151.2073,57.25,88,40,17.27,scattered clouds
341,Bubaque,GW,11.2833,-15.8333,76.8,92,100,20.36,heavy intensity rain
342,Sinnamary,GF,5.3833,-52.95,82.8,72,11,6.49,few clouds
343,Mildura,AU,-34.2,142.15,54.07,76,100,9.35,overcast clouds
344,Broome,US,42.2506,-75.833,89.46,45,20,10.36,few clouds
345,Calamar,CO,10.2511,-74.9146,87.93,63,100,7.25,overcast clouds
